uid,anime_uid,score
79760,1571,8
101677,1571,10
321757,1571,4
86505,1571,9
45285,1571,8
22736,1571,9
81396,1571,10
192763,1571,6
103173,1571,9
34046,1571,10
260401,1571,9
20015,1571,9
40131,1571,8
33336,1571,8
27302,1571,10
207634,1571,6
34343,1571,8
31377,1571,10
217468,1571,6
108331,1571,8
91517,202,10
2532,202,10
4926,202,10
2716,202,10
249510,202,7
262216,202,9
252892,202,10
209184,202,9
126489,202,9
69877,202,9
213015,202,7
60353,202,9
51533,202,6
100865,202,10
28457,202,10
218535,202,8
219331,202,8
16829,202,9
322042,269,3
139689,269,8
7855,269,10
6054,269,9
179671,269,3
194908,269,10
9897,269,9
12351,269,10
194043,269,5
18382,269,6
10253,269,9
52595,269,7
186988,269,1
124005,269,3
8837,269,9
181641,269,6
140515,1571,9
246163,1571,8
251350,1571,10
254233,1571,8
86659,1571,9
71463,1571,6
146905,1571,10
183840,1571,10
55923,1571,9
59149,1571,8
50497,1571,10
198005,1571,7
20524,1571,9
214620,1571,9
35296,1571,8
217503,1571,8
22606,1571,8
195975,1571,10
126877,202,10
221311,202,4
318284,202,9
324889,202,8
241289,202,7
103783,202,8
206909,202,8
187605,202,7
229576,202,7
98419,202,9
96243,202,8
112685,202,10
42535,202,8
18350,202,8
32742,202,10
32758,202,10
17172,202,10
76505,202,9
147451,269,6
9734,269,9
290043,269,3
194048,269,3
76707,269,8
1155,269,7
104759,269,5
59407,269,1
2756,269,9
6132,269,9
1922,269,10
188860,269,3
132141,269,3
8040,269,9
313858,269,10
30719,269,3
2052,269,9
19734,269,5
243083,1571,9
271499,1571,9
272592,1571,7
106553,1571,8
222182,1571,9
205611,1571,9
205661,1571,7
219582,1571,8
221331,1571,7
81090,1571,9
15731,1571,8
17105,1571,10
9909,1571,10
29713,1571,10
61935,1571,10
79182,1571,4
17880,1571,9
261563,202,9
23433,202,10
189623,202,8
311142,202,7
13339,202,10
197629,202,10
10676,202,10
32331,202,9
321734,202,10
285621,202,10
5283,202,9
176071,202,10
29686,202,9
292021,202,1
1049,202,10
2672,202,8
8723,202,10
193767,202,7
211568,202,1
30597,269,5
4008,269,10
2581,269,6
2231,269,10
1565,269,7
28816,269,3
3910,269,8
750,269,10
6935,269,6
6511,269,10
9562,269,5
19948,269,6
44433,269,3
4377,269,9
34866,269,5
440,269,8
78535,1571,10
214336,1571,5
85183,1571,9
304345,1571,8
56875,1571,10
18371,1571,8
5527,1571,5
194092,1571,7
322957,1571,9
164633,1571,10
188584,1571,9
164079,1571,8
298277,1571,6
71011,1571,8
58905,1571,9
26025,1571,10
16610,1571,10
253557,18397,9
159733,18397,7
140779,18397,4
123363,18397,5
131041,18397,8
186795,18397,4
156263,18397,7
123509,18397,7
123389,18397,10
130109,18397,10
131033,18397,10
123469,18397,8
98325,5005,9
268798,5005,7
147215,5005,8
19674,5005,7
19647,5005,9
38676,5005,9
228726,202,4
169765,202,9
38591,202,9
79384,202,10
27411,202,6
190900,202,10
261174,202,3
180811,202,6
94275,202,9
28896,202,7
122439,202,10
25902,202,9
1212,202,10
30041,202,2
1377,202,8
117155,202,6
15743,202,8
114203,202,4
6137,202,9
16094,202,10
239065,32998,7
316388,32998,3
230880,32998,8
233091,32998,8
230785,32998,8
230743,32998,9
230816,32998,7
230807,32998,8
230730,32998,8
230758,32998,9
230797,32998,8
230655,32998,8
245165,32998,7
230657,32998,7
231258,32998,5
313577,32998,8
230653,32998,9
230775,32998,7
230650,32998,8
230686,32998,7
19850,269,4
184387,269,5
6621,269,7
231670,269,5
1708,269,8
3324,269,3
36102,269,6
509,269,9
964,269,6
26106,269,5
1485,269,5
13651,269,3
181806,269,4
34861,269,5
5916,269,1
269557,269,10
186712,269,6
968,269,8
17312,269,6
4719,269,8
260843,30123,5
199148,30123,8
207809,30123,7
204546,30123,10
212051,30123,7
312763,30123,4
324413,30123,4
199166,30123,6
200885,30123,10
287192,30123,4
254156,30123,8
200354,30123,5
200295,30123,9
262801,30123,9
199222,30123,10
210972,30123,10
213625,30123,10
202622,30123,8
296127,30123,10
314684,30123,7
320014,30123,10
323575,30123,9
262752,30123,8
247765,30123,9
248599,30123,10
235363,30123,8
199629,30123,9
222913,30123,8
245818,30123,9
247243,30123,3
249647,30123,1
308398,30123,5
253137,30123,9
253433,30123,8
259243,30123,9
264371,30123,6
218758,30123,6
205786,30123,5
231525,30123,9
233582,30123,9
218143,30123,10
230070,30123,4
211569,30123,8
208797,30123,8
245126,30123,9
283102,30123,8
237462,30123,9
242057,30123,10
247321,30123,6
251408,30123,7
256196,30123,6
236115,30123,6
222869,30123,8
211050,30123,10
224551,30123,7
201643,30123,10
201311,30123,10
237380,30123,7
239325,30123,9
239610,30123,8
291589,30123,3
217648,30123,8
221286,30123,5
218249,30123,8
217159,30123,9
225527,30123,10
212017,30123,7
201041,30123,8
206733,30123,9
199655,30123,9
200096,30123,8
210217,30123,9
199220,30123,6
199153,30123,8
199168,30123,8
212816,30123,8
215629,30123,6
226565,30123,10
218202,30123,7
216887,30123,7
214062,30123,5
219123,30123,6
238098,30123,6
282911,30123,8
293653,30123,8
261731,30123,2
298178,30123,9
298343,30123,8
306163,30123,10
276548,30123,8
211392,30123,9
203712,30123,10
207001,30123,9
216657,30123,9
230410,30123,8
279548,30123,9
280160,30123,6
246211,30123,5
318748,30123,10
321044,30123,7
199374,30123,6
203627,30123,4
235090,30123,4
199176,30123,8
199104,30123,8
199141,30123,8
205096,30123,6
15745,1571,9
30423,1571,9
14412,1571,9
19619,1571,9
76255,1571,8
2132,1571,10
2071,1571,10
105775,1571,7
335,1571,10
5100,1571,6
100321,1571,10
2393,1571,10
26931,1571,7
161183,1571,6
242464,1571,4
19052,1571,8
165481,1571,3
3242,1571,10
163,1571,10
275482,19319,9
283632,19319,8
185852,19319,6
138391,19319,9
138481,19319,10
189506,19319,9
255802,19319,7
300411,19319,9
138623,19319,10
240239,19319,6
138057,19319,8
166927,19319,9
132817,19319,8
153553,4181,10
207922,4181,10
235445,4181,3
131949,4181,10
82352,4181,10
133549,4181,10
280781,4181,10
204202,4181,9
190940,4181,10
190137,4181,7
186741,4181,8
70511,4181,10
204085,4181,10
53971,4181,10
215126,30276,10
232418,30276,9
206481,30276,9
216705,30276,8
206159,30276,9
221373,30276,7
223815,30276,7
223116,30276,8
206151,30276,8
224491,30276,10
221282,30276,8
219969,30276,8
228549,30276,9
206187,30276,9
219272,30276,8
219404,30276,6
227773,30276,10
146477,3750,8
297996,33263,8
232265,32380,7
325359,38084,9
236298,388,8
37791,9724,8
312855,37985,9
313083,37985,10
159209,1172,7
36562,397,10
320,397,7
3348,397,9
200504,28999,3
40991,3092,10
170927,20057,10
283187,28999,6
283475,35860,9
282654,35860,9
283922,35860,8
300015,28999,7
300698,28999,10
259344,28999,6
301381,28999,10
276508,35860,7
274292,35860,10
275214,35860,8
206503,20057,10
240022,28999,10
287535,28999,7
265012,28999,8
282075,28999,8
201452,28999,9
201756,28999,8
222244,28999,8
201563,28999,7
201472,28999,7
213588,28999,6
213406,28999,8
252865,28999,7
253512,28999,4
273789,28999,8
311041,28999,8
206758,28999,5
199733,28999,8
205755,28999,8
199742,28999,5
199748,28999,8
203629,28999,7
216362,28999,4
199939,28999,6
221153,28999,5
200482,28999,10
200078,28999,10
204729,28999,10
199687,28999,6
199710,28999,8
199684,28999,8
199790,28999,9
199834,28999,9
211271,28999,9
216134,28999,9
210822,28999,10
209446,28999,10
222884,28999,5
267379,28999,7
268762,28999,7
245152,28999,7
246922,28999,2
272358,28999,10
274755,28999,10
236475,28999,8
235923,28999,10
199701,28999,8
234743,28999,9
199818,28999,7
201100,28999,6
222253,28999,7
208634,28999,8
219737,28999,8
201685,28999,6
295572,28999,7
247680,28999,9
301276,28999,8
302920,28999,6
303112,28999,8
200738,28999,5
232794,28999,9
225996,28999,8
225586,28999,10
206242,28999,10
211619,28999,7
200039,28999,7
237549,28999,6
242033,28999,9
243892,28999,5
245673,28999,10
245695,28999,9
243635,28999,6
243756,28999,10
282490,28999,7
205794,28999,6
199997,28999,6
227878,28999,6
211470,28999,6
247246,28999,8
247477,28999,10
258567,28999,8
258854,28999,10
263779,28999,8
264739,28999,8
266944,28999,10
272058,28999,6
276819,28999,10
199908,28999,5
199876,28999,6
199746,28999,9
233622,28999,9
208220,28999,5
199706,28999,6
234107,28999,9
200014,28999,6
199739,28999,7
200200,28999,7
278515,28999,8
283202,28999,9
283610,28999,8
242734,28999,10
242996,28999,4
243707,28999,1
244358,28999,7
292667,28999,5
293420,28999,8
307205,28999,2
